"keys","pt","en","es","fr","de","it","ru","ja","zh"
"Frota","Frota","Caravan","Caravana","Caravane","Karawane","Carovana","Караван","隊商","商队"
"Cidades","Cidades","Cities","Ciudades","Villes","Städte","Città","Города","都市","城市"
"Talentos","Talentos","Talents","Talentos","Talents","Talente","Talenti","Таланты","タレント","天赋"
"Legado","Legado","Legacy","Legado","Héritage","Vermächtnis","Eredità","Наследие","レガシー","传承"
"Loja","Loja","Shop","Tienda","Boutique","Shop","Negozio","Магазин","ショップ","商店"
"Missões","Missões","Missions","Misiones","Missions","Missionen","Missioni","Задания","ミッション","任务"
"Comprar Drones","Comprar Drones","Hire Couriers","Contratar correos","Engager des coursiers","Kuriere anheuern","Assumi Corrieri","Нанять курьеров","運び手を雇う","雇佣信使"
"Tens %d drones","Tens %d drones","You command %d couriers","Diriges %d correos","Vous dirigez %d coursiers","Du befehligst %d Kuriere","Comandi %d corrieri","У тебя %d курьеров","運び手 %d 人","拥有 %d 名信使"
"Abrir Cidade","Abrir Cidade","Open City","Abrir ciudad","Ouvrir une ville","Stadt öffnen","Apri Città","Открыть город","都市を開放","开设城市"
"Expandir país","Expandir país","Expand Country","Expandir país","Étendre le pays","Land erweitern","Espandi paese","Расширить страну","国を拡大","扩张国家"
"Rede de cidades","Rede de cidades","City Network","Red de ciudades","Réseau de villes","Städtenetz","Rete di città","Сеть городов","都市ネットワーク","城市网络"
"Loja de Prestige","Loja de Prestige","Prestige Shop","Tienda de Prestigio","Boutique de Prestige","Prestige-Shop","Negozio Prestigio","Магазин престижа","プレステージショップ","转生商店"
"Conquistas","Conquistas","Achievements","Logros","Succès","Erfolge","Obiettivi","Достижения","実績","成就"
"Obtido","Obtido","Owned","Obtenido","Obtenu","Im Besitz","Posseduto","В наличии","所持済み","已拥有"
"Abrir","Abrir","Open","Abrir","Ouvrir","Öffnen","Apri","Открыть","開く","开启"
"Compras com dinheiro real","Compras com dinheiro real","Real Money Purchases","Compras con dinero real","Achats en argent réel","Käufe mit Echtgeld","Acquisti con denaro reale","Покупки за реальные деньги","リアルマネー購入","真实货币购买"
"Desafio Semanal","Desafio Semanal","Weekly Challenge","Desafío semanal","Défi hebdomadaire","Wochen-Challenge","Sfida Settimanale","Еженедельный вызов","ウィークリーチャレンジ","每周挑战"
"Trocar","Trocar","Swap","Cambiar","Changer","Tauschen","Sostituisci","Заменить","交換","更换"
"Definições","Definições","Settings","Ajustes","Paramètres","Einstellungen","Impostazioni","Настройки","設定","设置"
"Som activado","Som activado","Sound On","Sonido activado","Son activé","Ton an","Audio attivo","Звук включён","サウンドオン","音效开启"
"Vibração","Vibração","Vibration","Vibración","Vibration","Vibration","Vibrazione","Вибрация","バイブレーション","震动"
"Reduzir animações","Reduzir animações","Reduce Animations","Reducir animaciones","Réduire les animations","Animationen reduzieren","Riduci animazioni","Меньше анимаций","アニメーション軽減","减少动画"
"Restaurar compras","Restaurar compras","Restore Purchases","Restaurar compras","Restaurer les achats","Käufe wiederherstellen","Ripristina acquisti","Восстановить покупки","購入の復元","恢复购买"
"A verificar compras...","A verificar compras...","Checking purchases...","Comprobando compras...","Vérification des achats...","Prüfe Käufe...","Verifica acquisti...","Проверка покупок...","購入を確認中...","正在验证购买…"
"Repor progresso","Repor progresso","Reset Progress","Reiniciar progreso","Réinitialiser la progression","Fortschritt zurücksetzen","Azzera progressi","Сбросить прогресс","進行状況をリセット","重置进度"
"Fechar","Fechar","Close","Cerrar","Fermer","Schließen","Chiudi","Закрыть","閉じる","关闭"
"Confirmar Prestige","Confirmar Prestige","Confirm Prestige","Confirmar Prestigio","Confirmer le Prestige","Prestige bestätigen","Conferma Prestigio","Подтвердить престиж","プレステージを確認","确认转生"
"SIM, FAZER PRESTIGE","SIM, FAZER PRESTIGE","YES, PRESTIGE NOW","SÍ, HACER PRESTIGIO","OUI, FAIRE PRESTIGE","JA, PRESTIGE JETZT","SÌ, FAI PRESTIGIO","ДА, СДЕЛАТЬ ПРЕСТИЖ","はい、プレステージする","是的，立即转生"
"Cancelar","Cancelar","Cancel","Cancelar","Annuler","Abbrechen","Annulla","Отмена","キャンセル","取消"
"SIM, APAGAR TUDO","SIM, APAGAR TUDO","YES, DELETE EVERYTHING","SÍ, BORRAR TODO","OUI, TOUT EFFACER","JA, ALLES LÖSCHEN","SÌ, CANCELLA TUTTO","ДА, УДАЛИТЬ ВСЁ","はい、すべて削除","是的，删除全部"
"Repor progresso?","Repor progresso?","Reset progress?","¿Reiniciar progreso?","Réinitialiser la progression ?","Fortschritt zurücksetzen?","Azzerare i progressi?","Сбросить прогресс?","進行状況をリセット？","重置进度？"
